FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,12/21/23 07:24:54.898437512
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
56932:ch3,Timeseries,128Hz,,,,,,

DATA_START
Time,56932:ch3
12/21/23 07:26:59.742187500,-0.8436622023582458
12/21/23 07:26:59.750000000,-0.8422542810440063
12/21/23 07:26:59.757812500,-0.845401406288147
12/21/23 07:26:59.765625000,-0.8472949266433716
12/21/23 07:26:59.773437500,-0.8483489751815796
12/21/23 07:26:59.781250000,-0.8488571643829346
12/21/23 07:26:59.789062500,-0.8487179279327393
12/21/23 07:26:59.796875000,-0.8479875922203064
12/21/23 07:26:59.804687500,-0.8469787240028381
12/21/23 07:26:59.812500000,-0.8474680781364441
12/21/23 07:26:59.820312500,-0.8448517918586731
12/21/23 07:26:59.828125000,-0.8445920348167419
12/21/23 07:26:59.835937500,-0.8444979190826416
12/21/23 07:26:59.843750000,-0.8432104587554932
12/21/23 07:26:59.851562500,-0.8435379266738892
12/21/23 07:26:59.859375000,-0.8433271646499634
12/21/23 07:26:59.867187500,-0.8440160751342773
12/21/23 07:26:59.875000000,-0.8450211882591248
12/21/23 07:26:59.882812500,-0.8485183715820313
12/21/23 07:26:59.890625000,-0.8607944250106812
12/21/23 07:26:59.898437500,-0.8595370650291443
12/21/23 07:26:59.906250000,-0.8585432171821594
12/21/23 07:26:59.914062500,-0.8572068214416504
12/21/23 07:26:59.921875000,-0.8575456738471985
12/21/23 07:26:59.929687500,-0.8573272824287415
12/21/23 07:26:59.937500000,-0.8589497804641724
12/21/23 07:26:59.945312500,-0.85611891746521
12/21/23 07:26:59.953125000,-0.8534687161445618
12/21/23 07:26:59.960937500,-0.8521172404289246
12/21/23 07:26:59.968750000,-0.8482736945152283
12/21/23 07:26:59.976562500,-0.8451642394065857
12/21/23 07:26:59.984375000,-0.844287097454071
12/21/23 07:26:59.992187500,-0.8437449932098389
12/21/23 07:27:00.000000000,-0.8445769548416138
12/21/23 07:27:00.007812500,-0.8453788161277771
12/21/23 07:27:00.015625000,-0.8450512886047363
12/21/23 07:27:00.023437500,-0.8437638282775879
12/21/23 07:27:00.031250000,-0.8438730239868164
12/21/23 07:27:00.039062500,-0.8438428640365601
12/21/23 07:27:00.046875000,-0.8442230820655823
12/21/23 07:27:00.054687500,-0.8450173735618591
12/21/23 07:27:00.062500000,-0.8467716574668884
12/21/23 07:27:00.070312500,-0.8489136695861816
12/21/23 07:27:00.078125000,-0.851624071598053
12/21/23 07:27:00.085937500,-0.8522490262985229
12/21/23 07:27:00.093750000,-0.8514320850372314
12/21/23 07:27:00.101562500,-0.8496100902557373
12/21/23 07:27:00.109375000,-0.8482548594474792
12/21/23 07:27:00.117187500,-0.8470954298973083
12/21/23 07:27:00.125000000,-0.844938337802887
12/21/23 07:27:00.132812500,-0.8435755968093872
12/21/23 07:27:00.140625000,-0.8439143896102905
12/21/23 07:27:00.148437500,-0.8450136184692383
12/21/23 07:27:00.156250000,-0.8471744656562805
12/21/23 07:27:00.164062500,-0.8506603837013245
12/21/23 07:27:00.171875000,-0.8523958325386047
12/21/23 07:27:00.179687500,-0.8556408286094666
12/21/23 07:27:00.187500000,-0.8548427224159241
12/21/23 07:27:00.195312500,-0.8541237115859985
12/21/23 07:27:00.203125000,-0.8563146591186523
12/21/23 07:27:00.210937500,-0.8557876348495483
12/21/23 07:27:00.218750000,-0.8563259243965149
12/21/23 07:27:00.226562500,-0.8575531840324402
12/21/23 07:27:00.234375000,-0.8551928400993347
12/21/23 07:27:00.242187500,-0.8545754551887512
12/21/23 07:27:00.250000000,-0.8522452116012573
12/21/23 07:27:00.257812500,-0.8511008024215698
12/21/23 07:27:00.265625000,-0.8493578433990479
12/21/23 07:27:00.273437500,-0.8461843729019165
12/21/23 07:27:00.281250000,-0.8458455801010132
12/21/23 07:27:00.289062500,-0.8435680866241455
12/21/23 07:27:00.296875000,-0.8426796793937683
12/21/23 07:27:00.304687500,-0.8436282873153687
12/21/23 07:27:00.312500000,-0.8434928059577942
12/21/23 07:27:00.320312500,-0.8438202738761902
12/21/23 07:27:00.328125000,-0.8450324535369873
12/21/23 07:27:00.335937500,-0.8455971479415894
12/21/23 07:27:00.343750000,-0.8438805341720581
12/21/23 07:27:00.351562500,-0.845220685005188
12/21/23 07:27:00.359375000,-0.842769980430603
12/21/23 07:27:00.367187500,-0.840153694152832
12/21/23 07:27:00.375000000,-0.839061975479126
12/21/23 07:27:00.382812500,-0.8378008604049683
12/21/23 07:27:00.390625000,-0.8348156213760376
12/21/23 07:27:00.398437500,-0.8355271220207214
12/21/23 07:27:00.406250000,-0.8374093770980835
12/21/23 07:27:00.414062500,-0.836690366268158
12/21/23 07:27:00.421875000,-0.8378798961639404
12/21/23 07:27:00.429687500,-0.838192343711853
12/21/23 07:27:00.437500000,-0.8397245407104492
12/21/23 07:27:00.445312500,-0.8417536020278931
12/21/23 07:27:00.453125000,-0.8439068794250488
12/21/23 07:27:00.460937500,-0.8446785807609558
12/21/23 07:27:00.468750000,-0.842506468296051
12/21/23 07:27:00.476562500,-0.843458890914917
12/21/23 07:27:00.484375000,-0.8443698883056641
12/21/23 07:27:00.492187500,-0.8457627892494202
12/21/23 07:27:00.500000000,-0.8465947508811951
12/21/23 07:27:00.507812500,-0.8482699394226074
12/21/23 07:27:00.515625000,-0.8537096381187439
12/21/23 07:27:00.523437500,-0.8533331751823425
12/21/23 07:27:00.531250000,-0.8543345332145691
12/21/23 07:27:00.539062500,-0.8560285568237305
12/21/23 07:27:00.546875000,-0.8564351201057434
12/21/23 07:27:00.554687500,-0.8565254807472229
12/21/23 07:27:00.562500000,-0.8558930158615112
12/21/23 07:27:00.570312500,-0.8554601073265076
12/21/23 07:27:00.578125000,-0.8592886328697205
12/21/23 07:27:00.585937500,-0.8623303174972534
12/21/23 07:27:00.593750000,-0.8599285483360291
12/21/23 07:27:00.601562500,-0.8598344326019287
12/21/23 07:27:00.609375000,-0.8569583892822266
12/21/23 07:27:00.617187500,-0.8569019436836243
12/21/23 07:27:00.625000000,-0.8545001745223999
12/21/23 07:27:00.632812500,-0.8520042896270752
12/21/23 07:27:00.640625000,-0.8495912551879883
12/21/23 07:27:00.648437500,-0.8476262092590332
12/21/23 07:27:00.656250000,-0.8436508774757385
12/21/23 07:27:00.664062500,-0.8434739708900452
12/21/23 07:27:00.671875000,-0.8438654541969299
12/21/23 07:27:00.679687500,-0.8428339958190918
12/21/23 07:27:00.687500000,-0.842322051525116
12/21/23 07:27:00.695312500,-0.8416368961334229
12/21/23 07:27:00.703125000,-0.8402101397514343
12/21/23 07:27:00.710937500,-0.837684154510498
12/21/23 07:27:00.718750000,-0.8357605338096619
12/21/23 07:27:00.726562500,-0.8335281610488892
12/21/23 07:27:00.734375000,-0.8313108682632446
12/21/23 07:27:00.742187500,-0.8315932154655457
12/21/23 07:27:00.750000000,-0.8319282531738281
12/21/23 07:27:00.757812500,-0.8315405249595642
12/21/23 07:27:00.765625000,-0.8329823017120361
12/21/23 07:27:00.773437500,-0.8326999545097351
12/21/23 07:27:00.781250000,-0.8361934423446655
12/21/23 07:27:00.789062500,-0.8402665853500366
12/21/23 07:27:00.796875000,-0.8448367118835449
12/21/23 07:27:00.804687500,-0.8489211797714233
12/21/23 07:27:00.812500000,-0.8513944745063782
12/21/23 07:27:00.820312500,-0.8534799814224243
12/21/23 07:27:00.828125000,-0.8555805683135986
12/21/23 07:27:00.835937500,-0.8595219850540161
12/21/23 07:27:00.843750000,-0.8611821532249451
12/21/23 07:27:00.851562500,-0.8607642650604248
12/21/23 07:27:00.859375000,-0.8590251207351685
12/21/23 07:27:00.867187500,-0.8588105440139771
12/21/23 07:27:00.875000000,-0.8571880459785461
12/21/23 07:27:00.882812500,-0.8550384640693665
12/21/23 07:27:00.890625000,-0.8553960919380188
12/21/23 07:27:00.898437500,-0.8516466617584229
12/21/23 07:27:00.906250000,-0.8533520102500916
12/21/23 07:27:00.914062500,-0.851417064666748
12/21/23 07:27:00.921875000,-0.8497869968414307
12/21/23 07:27:00.929687500,-0.8516316413879395
12/21/23 07:27:00.937500000,-0.8517219424247742
12/21/23 07:27:00.945312500,-0.8511874079704285
12/21/23 07:27:00.953125000,-0.8512288331985474
12/21/23 07:27:00.960937500,-0.8511083722114563
12/21/23 07:27:00.968750000,-0.8480703830718994
12/21/23 07:27:00.976562500,-0.8463914394378662
12/21/23 07:27:00.984375000,-0.8472158908843994
12/21/23 07:27:00.992187500,-0.8457928895950317
12/21/23 07:27:01.000000000,-0.8427097797393799
12/21/23 07:27:01.007812500,-0.841715931892395
12/21/23 07:27:01.015625000,-0.8406882286071777
12/21/23 07:27:01.023437500,-0.8388624787330627
12/21/23 07:27:01.031250000,-0.8368334174156189
12/21/23 07:27:01.039062500,-0.8389866948127747
12/21/23 07:27:01.046875000,-0.8407898545265198
12/21/23 07:27:01.054687500,-0.84120774269104
12/21/23 07:27:01.062500000,-0.8433120846748352
12/21/23 07:27:01.070312500,-0.8447726964950562
12/21/23 07:27:01.078125000,-0.8469937443733215
12/21/23 07:27:01.085937500,-0.8499978184700012
12/21/23 07:27:01.093750000,-0.8517934679985046
12/21/23 07:27:01.101562500,-0.8528550863265991
12/21/23 07:27:01.109375000,-0.85447758436203
12/21/23 07:27:01.117187500,-0.8548464775085449
12/21/23 07:27:01.125000000,-0.8528550863265991
12/21/23 07:27:01.132812500,-0.8514885902404785
12/21/23 07:27:01.140625000,-0.8499488830566406
12/21/23 07:27:01.148437500,-0.8483075499534607
12/21/23 07:27:01.156250000,-0.8457364439964294
12/21/23 07:27:01.164062500,-0.8442720174789429
12/21/23 07:27:01.171875000,-0.8425366282463074
12/21/23 07:27:01.179687500,-0.8396416902542114
12/21/23 07:27:01.187500000,-0.8388511538505554
12/21/23 07:27:01.195312500,-0.8387909531593323
12/21/23 07:27:01.203125000,-0.8426231741905212
12/21/23 07:27:01.210937500,-0.8438315987586975
12/21/23 07:27:01.218750000,-0.8459133505821228
12/21/23 07:27:01.226562500,-0.8473363518714905
12/21/23 07:27:01.234375000,-0.849881112575531
12/21/23 07:27:01.242187500,-0.8515525460243225
12/21/23 07:27:01.250000000,-0.8506867289543152
12/21/23 07:27:01.257812500,-0.8495385646820068
12/21/23 07:27:01.265625000,-0.8487706184387207
12/21/23 07:27:01.273437500,-0.8487932085990906
12/21/23 07:27:01.281250000,-0.8483414649963379
12/21/23 07:27:01.289062500,-0.8463688492774963
12/21/23 07:27:01.296875000,-0.8456423282623291
12/21/23 07:27:01.304687500,-0.8452094197273254
12/21/23 07:27:01.312500000,-0.8447651863098145
12/21/23 07:27:01.320312500,-0.8471857309341431
12/21/23 07:27:01.328125000,-0.8492147922515869
12/21/23 07:27:01.335937500,-0.8526932001113892
12/21/23 07:27:01.343750000,-0.8522113561630249
12/21/23 07:27:01.351562500,-0.8534988164901733
12/21/23 07:27:01.359375000,-0.8528513312339783
12/21/23 07:27:01.367187500,-0.8545491099357605
12/21/23 07:27:01.375000000,-0.8552116751670837
12/21/23 07:27:01.382812500,-0.8558478355407715
12/21/23 07:27:01.390625000,-0.8539881706237793
12/21/23 07:27:01.398437500,-0.8532691597938538
12/21/23 07:27:01.406250000,-0.8515450358390808
12/21/23 07:27:01.414062500,-0.8485259413719177
12/21/23 07:27:01.421875000,-0.846519410610199
12/21/23 07:27:01.429687500,-0.8453562259674072
12/21/23 07:27:01.437500000,-0.8441929817199707
12/21/23 07:27:01.445312500,-0.841877818107605
12/21/23 07:27:01.453125000,-0.8433421850204468
12/21/23 07:27:01.460937500,-0.8444753289222717
12/21/23 07:27:01.468750000,-0.8453524708747864
12/21/23 07:27:01.476562500,-0.8446785807609558
12/21/23 07:27:01.484375000,-0.8434814810752869
12/21/23 07:27:01.492187500,-0.8455820679664612
12/21/23 07:27:01.500000000,-0.8444000482559204
12/21/23 07:27:01.507812500,-0.8456535935401917
12/21/23 07:27:01.515625000,-0.8460564017295837
12/21/23 07:27:01.523437500,-0.847245991230011
12/21/23 07:27:01.531250000,-0.8517181873321533
12/21/23 07:27:01.539062500,-0.853630542755127
12/21/23 07:27:01.546875000,-0.8514358401298523
12/21/23 07:27:01.554687500,-0.8491169214248657
12/21/23 07:27:01.562500000,-0.8481569886207581
12/21/23 07:27:01.570312500,-0.8447350859642029
12/21/23 07:27:01.578125000,-0.8467791676521301
12/21/23 07:27:01.585937500,-0.8468431830406189
12/21/23 07:27:01.593750000,-0.8430749177932739
12/21/23 07:27:01.601562500,-0.8456385731697083
12/21/23 07:27:01.609375000,-0.8487480282783508
12/21/23 07:27:01.617187500,-0.8493654131889343
12/21/23 07:27:01.625000000,-0.8515713810920715
12/21/23 07:27:01.632812500,-0.8517897129058838
12/21/23 07:27:01.640625000,-0.8556106686592102
12/21/23 07:27:01.648437500,-0.8562845587730408
12/21/23 07:27:01.656250000,-0.857538104057312
12/21/23 07:27:01.664062500,-0.8579070568084717
12/21/23 07:27:01.671875000,-0.8571692109107971
12/21/23 07:27:01.679687500,-0.8570224046707153
12/21/23 07:27:01.687500000,-0.8568153381347656
12/21/23 07:27:01.695312500,-0.8548389673233032
12/21/23 07:27:01.703125000,-0.8526894450187683
12/21/23 07:27:01.710937500,-0.8527007102966309
12/21/23 07:27:01.718750000,-0.8503404259681702
12/21/23 07:27:01.726562500,-0.8461090922355652
12/21/23 07:27:01.734375000,-0.8454729318618774
12/21/23 07:27:01.742187500,-0.8454955220222473
12/21/23 07:27:01.750000000,-0.8422505259513855
12/21/23 07:27:01.757812500,-0.844693660736084
12/21/23 07:27:01.765625000,-0.8460451364517212
12/21/23 07:27:01.773437500,-0.8445656895637512
12/21/23 07:27:01.781250000,-0.846048891544342
12/21/23 07:27:01.789062500,-0.8454540967941284
12/21/23 07:27:01.796875000,-0.8439369797706604
12/21/23 07:27:01.804687500,-0.8410835266113281
12/21/23 07:27:01.812500000,-0.8412867784500122
12/21/23 07:27:01.820312500,-0.8435869216918945
12/21/23 07:27:01.828125000,-0.8386666774749756
12/21/23 07:27:01.835937500,-0.8356475830078125
12/21/23 07:27:01.843750000,-0.8383166193962097
12/21/23 07:27:01.851562500,-0.8358809947967529
12/21/23 07:27:01.859375000,-0.8321277499198914
12/21/23 07:27:01.867187500,-0.8347516059875488
12/21/23 07:27:01.875000000,-0.8383617997169495
12/21/23 07:27:01.882812500,-0.8372286558151245
12/21/23 07:27:01.890625000,-0.8377745151519775
12/21/23 07:27:01.898437500,-0.8417987823486328
12/21/23 07:27:01.906250000,-0.8407635092735291
12/21/23 07:27:01.914062500,-0.8443247079849243
12/21/23 07:27:01.921875000,-0.8457514643669128
12/21/23 07:27:01.929687500,-0.846312403678894
12/21/23 07:27:01.937500000,-0.8465081453323364
12/21/23 07:27:01.945312500,-0.8477805256843567
12/21/23 07:27:01.953125000,-0.8509314060211182
12/21/23 07:27:01.960937500,-0.8513304591178894
12/21/23 07:27:01.968750000,-0.8520005345344543
12/21/23 07:27:01.976562500,-0.8550347089767456
12/21/23 07:27:01.984375000,-0.8562356233596802
12/21/23 07:27:01.992187500,-0.8548540472984314
12/21/23 07:27:02.000000000,-0.8562657237052917
12/21/23 07:27:02.007812500,-0.8591681718826294
12/21/23 07:27:02.015625000,-0.8585997223854065
12/21/23 07:27:02.023437500,-0.8589912056922913
12/21/23 07:27:02.031250000,-0.861871063709259
12/21/23 07:27:02.039062500,-0.8607718348503113
12/21/23 07:27:02.046875000,-0.8604819774627686
12/21/23 07:27:02.054687500,-0.8594655394554138
12/21/23 07:27:02.062500000,-0.8586486577987671
12/21/23 07:27:02.070312500,-0.8576021194458008
12/21/23 07:27:02.078125000,-0.8543608784675598
12/21/23 07:27:02.085937500,-0.8527948260307312
12/21/23 07:27:02.093750000,-0.8499187827110291
12/21/23 07:27:02.101562500,-0.846700131893158
12/21/23 07:27:02.109375000,-0.8487066030502319
12/21/23 07:27:02.117187500,-0.8431878685951233
12/21/23 07:27:02.125000000,-0.8436772227287292
12/21/23 07:27:02.132812500,-0.843033492565155
12/21/23 07:27:02.140625000,-0.8397395610809326
12/21/23 07:27:02.148437500,-0.8387947082519531
12/21/23 07:27:02.156250000,-0.8375900387763977
12/21/23 07:27:02.164062500,-0.8361746072769165
12/21/23 07:27:02.171875000,-0.8341003656387329
12/21/23 07:27:02.179687500,-0.8338330984115601
12/21/23 07:27:02.187500000,-0.8317136764526367
12/21/23 07:27:02.195312500,-0.8290672302246094
12/21/23 07:27:02.203125000,-0.8289467692375183
12/21/23 07:27:02.210937500,-0.8303471803665161
12/21/23 07:27:02.218750000,-0.831404983997345
12/21/23 07:27:02.226562500,-0.8364607095718384
12/21/23 07:27:02.234375000,-0.8397884964942932
12/21/23 07:27:02.242187500,-0.8387269377708435
12/21/23 07:27:02.250000000,-0.8449458479881287
12/21/23 07:27:02.257812500,-0.8485522866249084
12/21/23 07:27:02.265625000,-0.8503140211105347
12/21/23 07:27:02.273437500,-0.8520494699478149
12/21/23 07:27:02.281250000,-0.8556897640228271
12/21/23 07:27:02.289062500,-0.8597854971885681
12/21/23 07:27:02.296875000,-0.8573498725891113
12/21/23 07:27:02.304687500,-0.8583136200904846
12/21/23 07:27:02.312500000,-0.8612310886383057
12/21/23 07:27:02.320312500,-0.8596989512443542
12/21/23 07:27:02.328125000,-0.859262228012085
12/21/23 07:27:02.335937500,-0.856502890586853
12/21/23 07:27:02.343750000,-0.8550798892974854
12/21/23 07:27:02.351562500,-0.8533444404602051
12/21/23 07:27:02.359375000,-0.8532127141952515
12/21/23 07:27:02.367187500,-0.8541877269744873
12/21/23 07:27:02.375000000,-0.8520457148551941
12/21/23 07:27:02.382812500,-0.8534272909164429
12/21/23 07:27:02.390625000,-0.8529378771781921
12/21/23 07:27:02.398437500,-0.8506829738616943
12/21/23 07:27:02.406250000,-0.8508147001266479
12/21/23 07:27:02.414062500,-0.846455454826355
12/21/23 07:27:02.421875000,-0.8466511964797974
12/21/23 07:27:02.429687500,-0.8461015820503235
12/21/23 07:27:02.437500000,-0.8467152118682861
12/21/23 07:27:02.445312500,-0.8463613390922546
12/21/23 07:27:02.453125000,-0.8448178768157959
12/21/23 07:27:02.460937500,-0.8452847003936768
12/21/23 07:27:02.468750000,-0.8411851525306702
12/21/23 07:27:02.476562500,-0.8414072394371033
12/21/23 07:27:02.484375000,-0.839570164680481
12/21/23 07:27:02.492187500,-0.8381773233413696
12/21/23 07:27:02.500000000,-0.837864875793457
12/21/23 07:27:02.507812500,-0.8403155207633972
12/21/23 07:27:02.515625000,-0.8419719338417053
